scene,method,mult,frame,psnr,ssim,gpsnr,flicker,rays,ms,steps
bunker,PTR,0.75,28,28.8633,0.72995,29.6467,0.002576,125393,69.456,4085372
bunker,PTR,0.75,29,28.9410,0.73381,29.7355,0.002488,126006,69.670,4101212
bunker,PTR,0.75,30,28.9869,0.73736,29.7992,0.002359,124046,71.464,4034023
bunker,PTR,0.75,31,29.0419,0.74132,29.9002,0.002304,124257,68.883,4048155
bunker,PTR,0.75,32,29.1115,0.74533,30.0010,0.002206,125671,69.635,4083889
bunker,PTR,0.75,33,29.1773,0.74974,30.0991,0.002153,124088,68.113,4039664
bunker,PTR,0.75,34,29.2215,0.75315,30.1639,0.002106,125187,73.071,4070431
bunker,PTR,0.75,35,29.2760,0.75695,30.2405,0.002079,124224,68.488,4039604
bunker,PTR,0.75,36,29.3162,0.75979,30.3065,0.001938,125917,67.718,4108047
bunker,PTR,0.75,37,29.3788,0.76279,30.3875,0.001930,124708,67.219,4060311
bunker,PTR,0.75,38,29.4058,0.76506,30.4359,0.001891,124892,66.886,4061601
bunker,PTR,0.75,39,29.4452,0.76694,30.4861,0.001873,124891,69.499,4062707
bunker,PTR,0.75,40,29.5005,0.76959,30.5475,0.001791,124877,66.986,4066371
bunker,PTR,0.75,41,29.5227,0.77174,30.5929,0.001765,126133,67.958,4111883
bunker,PTR,0.75,42,29.5623,0.77346,30.6420,0.001733,125351,71.263,4075253
bunker,PTR,0.75,43,29.5846,0.77599,30.6923,0.001644,123990,69.112,4033946
bunker,PTR,0.75,44,29.6139,0.77791,30.7475,0.001622,125047,68.274,4067262
bunker,PTR,0.75,45,29.6415,0.78031,30.8050,0.001574,124991,90.348,4070229
bunker,PTR,0.75,46,29.6796,0.78195,30.8446,0.001599,123769,65.382,4022112
bunker,PTR,0.75,47,29.6987,0.78349,30.8833,0.001516,124403,66.870,4057003
bunker,PTR,0.75,48,29.7412,0.78544,30.9327,0.001512,125579,69.808,4091083
bunker,PTR,0.75,49,29.7846,0.78738,30.9829,0.001482,126003,72.195,4105913
bunker,PTR,0.75,50,29.8300,0.78903,31.0236,0.001463,124531,69.122,4055228
bunker,PTR,0.75,51,29.8456,0.79045,31.0572,0.001432,124408,68.081,4049930
bunker,PTR,0.75,52,29.8539,0.79134,31.0837,0.001430,125205,70.601,4079915
bunker,PTR,0.75,53,29.8865,0.79294,31.1224,0.001354,125517,69.645,4084972
bunker,PTR,0.75,54,29.9005,0.79491,31.1638,0.001330,125012,71.874,4070083
bunker,PTR,0.75,55,29.9366,0.79663,31.1986,0.001344,125017,67.450,4074582
bunker,PTR,0.75,56,29.9506,0.79787,31.2278,0.001248,124331,66.874,4045413
bunker,PTR,0.75,57,29.9536,0.79904,31.2620,0.001258,125287,66.264,4075331
bunker,PTR,0.75,58,29.9800,0.80052,31.2941,0.001267,124836,66.953,4062464
bunker,PTR,0.75,59,30.0136,0.80142,31.3279,0.001250,124929,69.624,4077686
bunker,PTR,0.75,60,30.0404,0.80269,31.3579,0.001231,125437,68.248,4081039
bunker,PTR,0.75,61,30.0539,0.80385,31.3887,0.001154,124386,72.677,4048057
bunker,PTR,0.75,62,30.0623,0.80494,31.4131,0.001168,125395,68.689,4074440
bunker,PTR,0.75,63,30.0701,0.80572,31.4403,0.001147,126323,67.406,4104623
bunker,PTR,0.75,64,30.0902,0.80707,31.4736,0.001144,124519,66.727,4050203
bunker,PTR,0.75,65,30.0992,0.80818,31.4966,0.001104,124257,67.008,4059502
bunker,PTR,0.75,66,30.1346,0.80914,31.5182,0.001138,125162,67.481,4082717
bunker,PTR,0.75,67,30.1372,0.81002,31.5400,0.001077,124330,69.079,4039742
bunker,PTR,0.75,68,30.1430,0.81063,31.5589,0.001050,125228,67.240,4074115
bunker,PTR,0.75,69,30.1608,0.81202,31.5890,0.001052,125232,67.815,4074397
bunker,PTR,0.75,70,30.1663,0.81258,31.6023,0.001014,124235,68.678,4044980
bunker,PTR,0.75,71,30.2006,0.81384,31.6337,0.001035,124279,66.980,4037041
bunker,PTR,0.75,72,30.2159,0.81462,31.6563,0.001008,125035,70.323,4064651
bunker,PTR,0.75,73,30.2365,0.81563,31.6799,0.000993,125263,71.991,4082667
bunker,PTR,0.75,74,30.2468,0.81620,31.6936,0.000978,124407,68.439,4048451
cavern,PTR,0.60,0,22.2457,0.59897,25.3288,0.000000,111564,45.012,2249281
cavern,PTR,0.60,1,24.8566,0.62688,25.8800,0.028531,112906,45.131,2273517
cavern,PTR,0.60,2,26.3305,0.64985,26.4073,0.018267,112279,44.149,2251412
cavern,PTR,0.60,3,27.2517,0.67425,26.9494,0.013516,112841,44.141,2268021
cavern,PTR,0.60,4,27.9148,0.69805,27.2841,0.010791,112336,45.300,2259914
cavern,PTR,0.60,5,27.9326,0.71152,27.2005,0.009453,113041,45.047,2267574
cavern,PTR,0.60,6,28.1236,0.72630,27.4010,0.007664,112537,44.175,2268700
cavern,PTR,0.60,7,28.5145,0.73849,27.7658,0.006369,112714,44.428,2269559
cavern,PTR,0.60,8,28.8728,0.75053,28.0612,0.005650,113187,44.135,2272090
cavern,PTR,0.60,9,28.9608,0.75521,28.1189,0.005301,113137,43.852,2278580
cavern,PTR,0.60,10,29.0964,0.76356,28.1615,0.004613,113589,44.315,2281064
cavern,PTR,0.60,11,29.3520,0.77009,28.3923,0.004126,115474,46.154,2314762
cavern,PTR,0.60,12,29.4945,0.77563,28.4653,0.003707,113362,45.749,2277785
cavern,PTR,0.60,13,29.7511,0.78158,28.6713,0.003424,114693,47.811,2302571
cavern,PTR,0.60,14,29.9572,0.78632,28.8507,0.003076,113665,46.630,2287453
cavern,PTR,0.60,15,30.1538,0.79083,28.9952,0.002931,114885,45.949,2313179
cavern,PTR,0.60,16,30.2082,0.79298,29.0044,0.002808,113917,44.975,2282449
cavern,PTR,0.60,17,30.3903,0.79677,29.1434,0.002590,111188,43.883,2236655
cavern,PTR,0.60,18,30.5115,0.80011,29.2416,0.002458,114337,45.169,2297834
cavern,PTR,0.60,19,30.6891,0.80314,29.3872,0.002330,113664,44.463,2286529
cavern,PTR,0.60,20,30.6822,0.80408,29.3980,0.002236,112719,43.565,2269604
cavern,PTR,0.60,21,30.8042,0.80710,29.4905,0.002027,112556,45.058,2264730
cavern,PTR,0.60,22,30.8784,0.80897,29.5600,0.001958,111922,44.765,2248165
cavern,PTR,0.60,23,31.0429,0.81307,29.6810,0.001938,114567,45.348,2303600
cavern,PTR,0.60,24,31.1925,0.81588,29.8007,0.001838,113282,43.971,2272039
cavern,PTR,0.60,25,31.2962,0.81795,29.8792,0.001716,113087,45.094,2276027
cavern,PTR,0.60,26,31.3976,0.81963,29.9615,0.001685,113218,50.011,2271330
cavern,PTR,0.60,27,31.5006,0.82228,30.0397,0.001604,114924,46.600,2311740
cavern,PTR,0.60,28,31.5818,0.82424,30.1019,0.001475,114438,46.948,2303003
cavern,PTR,0.60,29,31.6539,0.82586,30.1583,0.001448,114450,47.898,2294151
cavern,PTR,0.60,30,31.7294,0.82747,30.2106,0.001460,112238,44.585,2251899
cavern,PTR,0.60,31,31.8062,0.82909,30.2643,0.001380,112128,45.377,2253137
cavern,PTR,0.60,32,31.8692,0.83051,30.3114,0.001388,113846,45.370,2293458
cavern,PTR,0.60,33,31.9378,0.83231,30.3618,0.001246,112284,44.202,2257277
cavern,PTR,0.60,34,32.0078,0.83345,30.4199,0.001244,113066,43.515,2269278
cavern,PTR,0.60,35,32.0874,0.83477,30.4857,0.001235,112020,43.406,2253050
cavern,PTR,0.60,36,32.1357,0.83593,30.5273,0.001224,114257,44.314,2297091
cavern,PTR,0.60,37,32.2087,0.83717,30.5837,0.001210,113457,44.577,2281277
cavern,PTR,0.60,38,32.2233,0.83739,30.6070,0.001158,112904,45.452,2267123
cavern,PTR,0.60,39,32.2738,0.83849,30.6381,0.001086,113047,44.554,2275672
cavern,PTR,0.60,40,32.3247,0.83975,30.6723,0.001070,113225,44.625,2281082
cavern,PTR,0.60,41,32.3902,0.84112,30.7196,0.001053,114017,50.061,2291249
cavern,PTR,0.60,42,32.4333,0.84186,30.7509,0.001005,114578,44.901,2303158
cavern,PTR,0.60,43,32.4795,0.84287,30.7831,0.000973,113229,43.900,2276746
cavern,PTR,0.60,44,32.5262,0.84361,30.8174,0.000995,113160,43.991,2275040
cavern,PTR,0.60,45,32.5876,0.84459,30.8595,0.000954,114607,44.642,2299936
cavern,PTR,0.60,46,32.6328,0.84533,30.8953,0.000918,111920,45.161,2249642
cavern,PTR,0.60,47,32.6802,0.84626,30.9281,0.000886,112301,45.575,2254743
cavern,PTR,0.60,48,32.7193,0.84687,30.9602,0.000888,114304,45.672,2289548
cavern,PTR,0.60,49,32.7549,0.84747,30.9897,0.000889,114652,44.700,2299183
cavern,PTR,0.60,50,32.7946,0.84806,31.0176,0.000839,112943,48.504,2272347
cavern,PTR,0.60,51,32.8249,0.84859,31.0368,0.000852,112669,46.512,2264981
cavern,PTR,0.60,52,32.8591,0.84926,31.0649,0.000803,113061,47.083,2273391
