"image","crop","mean_luma_err","rms_luma_err","grad_ratio","grad_err_rms","grad_corr","plane_res_ratio","lowfreq_res_ratio","lowfreq_err_rms","edge_luma_mae","edge_signed_luma_err","edge_grad_err_rms","edge_bright_frac","mean_green_opp_delta","green_opp_rmse","chroma_rmse","sat_ratio"
"bunker_PTCU_post_b0.35x_f149.ppm","doorway_slab","-0.00312","0.01947","0.8909","0.03316","0.8724","0.9845","0.9885","0.00613","0.02183","-0.01184","0.07455","0.1936","0.00132","0.0044","0.00511","0.9545"
"bunker_PTCU_post_b0.35x_f149.ppm","green_wall","-0.00763","0.02229","0.667","0.03533","0.5808","0.9543","0.9911","0.00674","0.02576","-0.01627","0.0808","0.2302","0.0014","0.00791","0.00745","0.8557"
"bunker_PTCV_post_b0.35x_f149.ppm","circle_wall","-0.00234","0.01768","0.9742","0.03227","0.9549","0.9872","0.9873","0.0041","0.0184","-0.01255","0.07595","0.1902","0.00184","0.00608","0.00638","0.989"
"bunker_PTCV_post_b0.35x_f149.ppm","ceiling_wall","-0.00283","0.01625","0.9601","0.02749","0.9515","0.9867","0.9879","0.00517","0.0201","-0.01326","0.06123","0.1993","0.00192","0.00552","0.00594","0.9735"
"bunker_PTCV_post_b0.35x_f149.ppm","doorway_slab","-0.00316","0.01941","0.8913","0.03313","0.8726","0.9848","0.9888","0.00609","0.02176","-0.01199","0.0745","0.1952","0.00134","0.00452","0.00526","0.9554"
"bunker_PTCV_post_b0.35x_f149.ppm","green_wall","-0.00771","0.02239","0.6705","0.03542","0.5789","0.9557","0.9914","0.00675","0.02581","-0.01637","0.08094","0.2287","0.00144","0.00817","0.00776","0.8822"
"bunker_PTCW_post_b0.35x_f149.ppm","circle_wall","-0.00235","0.01758","0.974","0.03223","0.955","0.9873","0.9875","0.00405","0.01837","-0.01257","0.0759","0.1881","0.00191","0.00579","0.00592","0.9846"
"bunker_PTCW_post_b0.35x_f149.ppm","ceiling_wall","-0.00278","0.01603","0.9598","0.02746","0.9516","0.9864","0.9876","0.00503","0.02007","-0.01329","0.06124","0.201","0.0019","0.00505","0.00549","0.97"
"bunker_PTCW_post_b0.35x_f149.ppm","doorway_slab","-0.00314","0.01942","0.8908","0.03317","0.8723","0.9844","0.9885","0.0061","0.02185","-0.01185","0.07463","0.1968","0.0013","0.00435","0.005","0.9538"
"bunker_PTCW_post_b0.35x_f149.ppm","green_wall","-0.00747","0.02207","0.6639","0.03527","0.582","0.9511","0.9889","0.00665","0.0257","-0.01609","0.08077","0.2317","0.0013","0.00781","0.00722","0.8321"
"bunker_PTCX_post_b0.35x_f149.ppm","circle_wall","-0.00238","0.01755","0.974","0.03224","0.955","0.9874","0.9878","0.00403","0.01841","-0.01259","0.07593","0.1861","0.00192","0.00578","0.0059","0.9845"
"bunker_PTCX_post_b0.35x_f149.ppm","ceiling_wall","-0.00277","0.01597","0.9598","0.02744","0.9517","0.9864","0.9876","0.00498","0.02008","-0.0133","0.0612","0.201","0.00188","0.00503","0.00549","0.9702"
"bunker_PTCX_post_b0.35x_f149.ppm","doorway_slab","-0.00318","0.01939","0.8908","0.03317","0.8723","0.9845","0.9886","0.00607","0.02184","-0.01188","0.07463","0.2016","0.00128","0.00429","0.00497","0.9542"
"bunker_PTCX_post_b0.35x_f149.ppm","green_wall","-0.00741","0.02199","0.6635","0.03526","0.5823","0.95","0.9878","0.0066","0.02567","-0.01605","0.08077","0.2332","0.00132","0.00781","0.00721","0.8279"
"bunker_PTCY_post_b0.35x_f149.ppm","circle_wall","-0.00238","0.01755","0.974","0.03223","0.955","0.9874","0.9878","0.00403","0.01841","-0.01259","0.07593","0.1861","0.00189","0.00583","0.00601","0.986"
"bunker_PTCY_post_b0.35x_f149.ppm","ceiling_wall","-0.00279","0.01596","0.9598","0.02742","0.9518","0.9864","0.9876","0.00497","0.02009","-0.01331","0.06121","0.1993","0.00188","0.00512","0.00559","0.9711"
"bunker_PTCY_post_b0.35x_f149.ppm","doorway_slab","-0.00317","0.01939","0.8908","0.03317","0.8723","0.9845","0.9886","0.00607","0.02184","-0.01188","0.07463","0.2","0.0013","0.00434","0.00501","0.9543"
"bunker_PTCY_post_b0.35x_f149.ppm","green_wall","-0.00741","0.02199","0.6635","0.03528","0.5819","0.9501","0.9879","0.00659","0.02569","-0.01607","0.0808","0.2348","0.00137","0.00786","0.00731","0.8416"
"bunker_PTCZ_post_b0.35x_f149.ppm","circle_wall","-0.00241","0.01756","0.974","0.03225","0.955","0.9875","0.9879","0.00404","0.01842","-0.0126","0.07593","0.1861","0.00185","0.0059","0.00614","0.9877"
"bunker_PTCZ_post_b0.35x_f149.ppm","ceiling_wall","-0.00277","0.01596","0.9598","0.02741","0.9518","0.9863","0.9875","0.00498","0.02006","-0.0133","0.06117","0.1977","0.00186","0.00525","0.0057","0.9724"
"bunker_PTCZ_post_b0.35x_f149.ppm","doorway_slab","-0.00317","0.01938","0.8908","0.03315","0.8725","0.9845","0.9885","0.00607","0.02183","-0.01188","0.07455","0.2","0.00131","0.00437","0.00504","0.9541"
"bunker_PTCZ_post_b0.35x_f149.ppm","green_wall","-0.00743","0.02199","0.6635","0.03528","0.5819","0.9502","0.9882","0.00658","0.0257","-0.0161","0.08081","0.2348","0.00142","0.00801","0.00749","0.8581"
"bunker_PTBX_b0.35x_f149.ppm","circle_wall","-0.00272","0.01834","0.9797","0.03312","0.9526","0.9932","0.9932","0.00381","0.01942","-0.01275","0.07741","0.2086","0.00281","0.00688","0.00668","0.9669"
"bunker_PTBX_b0.35x_f149.ppm","ceiling_wall","-0.00383","0.0168","0.9711","0.02804","0.9497","0.9908","0.9901","0.00462","0.02055","-0.01489","0.06212","0.1961","0.00205","0.00557","0.00575","0.9713"
"bunker_PTBX_b0.35x_f149.ppm","doorway_slab","-0.00448","0.01995","0.8996","0.03325","0.8719","0.985","0.9885","0.00623","0.02242","-0.01343","0.07487","0.1776","0.00124","0.00455","0.00532","0.9657"
"bunker_PTBX_b0.35x_f149.ppm","green_wall","-0.01209","0.02502","0.6574","0.03598","0.5605","0.9643","1.0129","0.00726","0.02739","-0.02035","0.08146","0.1692","0.00106","0.00849","0.00781","0.9016"
"bunker_PTCH_b0.35x_f149.ppm","circle_wall","-0.02631","0.04469","0.935","0.03885","0.9336","0.9197","0.9132","0.01849","0.0491","-0.04671","0.09194","0.0818","0.00075","0.00635","0.00703","1.0134"
"bunker_PTCH_b0.35x_f149.ppm","ceiling_wall","-0.02239","0.03952","0.8916","0.03252","0.9323","0.8906","0.8901","0.02296","0.03892","-0.03549","0.0748","0.1127","0.00094","0.00543","0.00598","0.9955"
"bunker_PTCH_b0.35x_f149.ppm","doorway_slab","-0.02154","0.0344","0.8038","0.03602","0.8484","0.9446","0.9528","0.01445","0.03824","-0.03518","0.08217","0.0496","0.00276","0.00576","0.00705","0.978"
"bunker_PTCH_b0.35x_f149.ppm","green_wall","-0.01433","0.02993","0.7103","0.03809","0.5107","0.921","0.9243","0.01187","0.03267","-0.02655","0.0839","0.1585","0.00205","0.00866","0.00781","0.8815"
