scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,PT,1.00,21,26.7279,0.52161,26.3790,0.012308,207564,133.787,6689760
bunker,PT,1.00,22,26.8327,0.52560,26.4705,0.011692,207803,178.824,6693691
bunker,PT,1.00,23,26.9278,0.52680,26.5201,0.012261,207196,174.900,6678423
bunker,PT,1.00,24,26.9656,0.52439,26.5102,0.012349,207660,150.878,6700187
bunker,PT,1.00,25,26.9189,0.52308,26.4913,0.012331,208166,173.063,6701668
bunker,PT,1.00,26,26.8318,0.52178,26.3622,0.012429,208381,156.020,6709002
bunker,PT,1.00,27,26.8395,0.52175,26.3995,0.012061,207972,186.734,6689790
bunker,PT,1.00,28,26.9307,0.52421,26.4594,0.012153,208307,225.738,6708625
bunker,PT,1.00,29,27.0141,0.52918,26.5332,0.011726,208927,193.951,6727226
bunker,PT,1.00,30,27.0325,0.52806,26.5108,0.012117,208137,241.125,6704205
bunker,PT,1.00,31,27.0860,0.53052,26.5432,0.011857,207597,235.938,6688463
bunker,PT,1.00,32,27.1153,0.53289,26.6185,0.011456,207932,241.304,6672425
bunker,PT,1.00,33,27.1670,0.53418,26.6652,0.011837,207410,213.656,6684230
bunker,PT,1.00,34,27.0055,0.53121,26.5838,0.012325,208969,229.486,6723135
bunker,PT,1.00,35,26.6868,0.52887,26.3216,0.012761,208876,218.999,6725223
bunker,PT,1.00,36,26.6415,0.52621,26.2816,0.011851,207797,255.367,6695529
bunker,PT,1.00,37,26.7506,0.52435,26.3281,0.012359,208132,481.958,6701536
bunker,PT,1.00,38,26.6776,0.52320,26.2967,0.012368,208282,321.973,6699370
bunker,PT,1.00,39,26.8049,0.52668,26.3871,0.011813,207144,236.755,6663522
bunker,PT,1.00,40,26.8346,0.52433,26.3829,0.012167,209063,187.939,6735829
bunker,PT,1.00,41,26.8758,0.52462,26.4401,0.012017,208130,192.093,6710184
bunker,PT,1.00,42,26.7121,0.52160,26.2612,0.012240,208114,164.152,6700367
bunker,PT,1.00,43,26.7215,0.52469,26.3363,0.011895,207489,152.976,6674923
bunker,PT,1.00,44,26.7854,0.52727,26.3814,0.012195,207744,174.383,6689309
bunker,PT,1.00,45,26.7856,0.52580,26.3838,0.011693,208322,163.736,6707191
bunker,PT,1.00,46,26.7651,0.52412,26.3823,0.012069,207196,165.891,6669716
bunker,PT,1.00,47,26.6710,0.51925,26.2955,0.012089,208297,170.167,6717417
bunker,PT,1.00,48,26.7651,0.51905,26.3303,0.012153,208955,145.059,6726904
bunker,PT,1.00,49,26.7044,0.51834,26.2914,0.012074,208123,133.745,6701940
bunker,PT,1.00,50,26.7768,0.52113,26.3603,0.012065,208243,153.462,6702382
bunker,PT,1.00,51,26.8858,0.52339,26.4117,0.012175,207913,167.697,6693897
bunker,PT,1.00,52,26.9459,0.52394,26.4330,0.012197,208356,151.142,6712109
bunker,PT,1.00,53,26.8473,0.52428,26.3801,0.012529,209208,150.327,6735780
bunker,PT,1.00,54,26.8685,0.52815,26.4580,0.011763,208226,137.732,6700147
bunker,PT,1.00,55,26.8237,0.52494,26.4514,0.011923,208257,154.635,6712704
bunker,PT,1.00,56,26.8563,0.52489,26.5238,0.011600,207043,157.299,6661273
bunker,PT,1.00,57,26.7997,0.52594,26.5125,0.011994,208367,164.629,6705741
bunker,PT,1.00,58,26.8223,0.52747,26.5215,0.011885,207928,178.105,6698670
bunker,PT,1.00,59,26.8787,0.52644,26.5352,0.012004,207823,171.051,6709498
bunker,PT,1.00,60,26.9176,0.52778,26.5572,0.011693,207433,143.901,6679257
bunker,PT,1.00,61,26.8894,0.52941,26.5491,0.012333,208064,154.219,6693974
bunker,PT,1.00,62,26.7720,0.52444,26.4368,0.012247,208114,162.688,6696848
bunker,PT,1.00,63,26.4755,0.51913,26.2097,0.012092,207895,157.771,6687048
bunker,PT,1.00,64,26.5845,0.51928,26.2599,0.012117,207117,209.738,6668197
bunker,PT,1.00,65,26.6276,0.51943,26.2502,0.012451,208281,154.733,6726213
bunker,PT,1.00,66,26.6631,0.51977,26.3176,0.011545,208261,147.506,6712014
bunker,PT,1.00,67,26.6377,0.51868,26.3209,0.012243,207447,162.743,6666608
bunker,PT,1.00,68,26.5664,0.51685,26.3152,0.012101,208532,163.919,6722506
bunker,PT,1.00,69,26.4248,0.51402,26.2415,0.012026,207393,164.329,6674130
bunker,PT,1.00,70,26.4351,0.51488,26.2175,0.012202,208577,168.337,6722335
bunker,PT,1.00,71,26.3849,0.51469,26.1316,0.012618,208095,146.583,6696044
bunker,PT,1.00,72,26.3163,0.51186,26.0396,0.012014,208156,154.825,6700331
bunker,PT,1.00,73,25.9443,0.50876,25.7640,0.012312,208470,138.853,6718716
bunker,PT,1.00,74,25.9010,0.51136,25.7329,0.012250,206929,177.438,6666784
bunker,PT,1.00,75,22.5472,0.57284,26.1186,0.014142,208648,142.746,6778068
bunker,PT,1.00,76,23.5185,0.57624,26.2307,0.014215,207835,286.962,6773065
bunker,PT,1.00,77,24.2357,0.57875,26.3213,0.013068,207897,162.096,6769143
bunker,PT,1.00,78,24.9265,0.58790,26.5236,0.012031,208102,164.994,6764535
bunker,PT,1.00,79,25.4192,0.58964,26.5658,0.011884,208121,146.769,6773105
bunker,PT,1.00,80,25.8108,0.59192,26.6452,0.011273,206595,163.129,6725538
bunker,PT,1.00,81,26.1693,0.59411,26.7189,0.011074,208680,167.343,6793961
bunker,PT,1.00,82,26.4176,0.59362,26.7199,0.011109,208142,138.793,6766151
bunker,PT,1.00,83,26.6684,0.59419,26.7931,0.010819,208714,149.333,6805203
bunker,PT,1.00,84,26.7254,0.59499,26.7364,0.010914,207177,132.953,6726322
bunker,PT,1.00,85,26.9237,0.59917,26.8512,0.010318,207355,139.101,6754074
bunker,PT,1.00,86,27.0061,0.59873,26.8793,0.010614,208682,158.841,6794228
bunker,PT,1.00,87,27.0509,0.59978,26.8486,0.010564,208823,130.577,6812313
bunker,PT,1.00,88,27.2346,0.60310,26.9189,0.010257,208027,153.029,6763800
