scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,DDGI,1.00,109,28.6146,0.72068,0.002098,106993,90.684,2810822
bunker,DDGI,1.00,110,28.2587,0.71645,0.003588,107285,99.854,2822285
bunker,DDGI,1.00,111,28.2208,0.71626,0.003296,106813,96.315,2807661
bunker,DDGI,1.00,112,28.3051,0.71892,0.002441,107110,145.565,2820139
bunker,DDGI,1.00,113,27.9111,0.71538,0.003461,107422,133.759,2842310
bunker,DDGI,1.00,114,27.9085,0.71530,0.003303,107593,108.487,2849921
bunker,DDGI,1.00,115,27.7255,0.71607,0.003228,107316,128.967,2831280
bunker,DDGI,1.00,116,27.8978,0.71629,0.002585,107157,123.343,2819719
bunker,DDGI,1.00,117,28.1330,0.71886,0.002601,107511,91.361,2830471
bunker,DDGI,1.00,118,28.1658,0.71916,0.002225,107232,124.175,2814109
bunker,DDGI,1.00,119,28.1923,0.71917,0.002035,107008,114.369,2812696
bunker,DDGI,1.00,120,28.1102,0.71858,0.001955,106957,120.044,2814382
bunker,DDGI,1.00,121,28.1709,0.71859,0.002590,107023,113.903,2816949
bunker,DDGI,1.00,122,28.2025,0.71914,0.002428,107307,96.518,2835891
bunker,DDGI,1.00,123,28.1229,0.71962,0.002845,107421,114.231,2850979
bunker,DDGI,1.00,124,28.1227,0.71921,0.002393,107616,111.651,2845882
bunker,DDGI,1.00,125,28.2632,0.71996,0.002777,107290,110.021,2828038
bunker,DDGI,1.00,126,28.0764,0.71836,0.003048,107024,121.244,2811928
bunker,DDGI,1.00,127,28.0051,0.71764,0.002897,107525,167.900,2827906
bunker,DDGI,1.00,128,27.9382,0.71763,0.003495,107150,116.440,2812785
bunker,DDGI,1.00,129,28.0369,0.71873,0.002096,106850,108.820,2807386
bunker,DDGI,1.00,130,27.7716,0.71822,0.002752,106945,144.546,2811500
bunker,DDGI,1.00,131,27.7386,0.71584,0.003750,107304,125.573,2835110
bunker,DDGI,1.00,132,27.9462,0.71770,0.002741,107265,106.060,2836244
bunker,DDGI,1.00,133,27.9910,0.71804,0.002734,107269,103.223,2833847
bunker,DDGI,1.00,134,28.1341,0.71874,0.002041,107581,146.378,2839147
bunker,DDGI,1.00,135,28.1504,0.71779,0.002587,107407,115.197,2827944
bunker,DDGI,1.00,136,28.2132,0.71958,0.002672,107070,99.827,2808977
bunker,DDGI,1.00,137,28.3329,0.72067,0.002454,107298,165.972,2818591
bunker,DDGI,1.00,138,28.1294,0.72009,0.002336,106979,140.080,2818632
bunker,DDGI,1.00,139,28.2206,0.72052,0.001998,106826,140.326,2808529
bunker,DDGI,1.00,140,28.2389,0.72048,0.002411,107052,105.010,2824980
bunker,DDGI,1.00,141,26.5025,0.70646,0.006361,107582,134.584,2842068
bunker,DDGI,1.00,142,26.2527,0.70598,0.003487,107472,120.113,2845155
bunker,DDGI,1.00,143,25.9840,0.70352,0.002697,107148,122.028,2825142
bunker,DDGI,1.00,144,25.7654,0.70399,0.002984,107473,125.957,2831505
bunker,DDGI,1.00,145,25.9375,0.70499,0.003315,107334,101.665,2821412
bunker,DDGI,1.00,146,26.2457,0.70845,0.002993,107136,103.290,2814865
bunker,DDGI,1.00,147,26.3842,0.71032,0.002879,106948,130.089,2814783
bunker,DDGI,1.00,148,26.4132,0.71045,0.002143,106876,101.287,2805796
bunker,DDGI,1.00,149,26.6732,0.71302,0.002329,107007,120.167,2816531
bunker,FCGI,1.00,0,13.9924,0.13246,0.000000,105827,109.112,3324920
bunker,FCGI,1.00,1,18.8478,0.40503,0.087108,105654,129.251,3332010
bunker,FCGI,1.00,2,21.1313,0.49853,0.028003,105799,113.552,3330903
bunker,FCGI,1.00,3,22.5330,0.54562,0.015392,105810,75.106,3333092
bunker,FCGI,1.00,4,23.4880,0.57166,0.010178,105896,96.210,3331649
bunker,FCGI,1.00,5,24.2262,0.59048,0.007749,105800,84.386,3337240
bunker,FCGI,1.00,6,24.8309,0.60473,0.006196,105758,94.585,3327742
bunker,FCGI,1.00,7,25.3259,0.61464,0.005249,105787,97.844,3330168
bunker,FCGI,1.00,8,25.7450,0.62292,0.004438,105568,74.224,3327922
bunker,FCGI,1.00,9,26.0829,0.63039,0.003737,105978,81.626,3338460
bunker,FCGI,1.00,10,26.3903,0.63598,0.003328,105775,67.624,3328852
bunker,FCGI,1.00,11,26.6318,0.64105,0.002829,105730,97.877,3326806
bunker,FCGI,1.00,12,26.9007,0.64540,0.002983,105651,95.776,3331728
bunker,FCGI,1.00,13,27.1625,0.64939,0.002706,105560,94.481,3324400
bunker,FCGI,1.00,14,27.4205,0.65253,0.002901,105784,106.191,3326670
bunker,FCGI,1.00,15,27.6592,0.65519,0.002729,105989,82.029,3338589
bunker,FCGI,1.00,16,27.8562,0.65759,0.002524,105598,95.171,3324587
bunker,FCGI,1.00,17,28.0882,0.65938,0.002719,105657,81.374,3331820
bunker,FCGI,1.00,18,28.2870,0.66134,0.002495,105703,89.985,3334300
bunker,FCGI,1.00,19,28.4990,0.66263,0.002744,105802,88.000,3334416
bunker,FCGI,1.00,20,28.7132,0.66422,0.002661,105687,90.384,3332150
bunker,FCGI,1.00,21,28.9402,0.66554,0.002725,105721,77.479,3331571
bunker,FCGI,1.00,22,29.1607,0.66700,0.002666,105697,78.444,3332327
bunker,FCGI,1.00,23,29.3484,0.66827,0.002543,105444,71.539,3321390
bunker,FCGI,1.00,24,29.5326,0.66924,0.002662,105693,103.874,3330614
bunker,FCGI,1.00,25,29.6947,0.66983,0.002532,105691,75.165,3332286
bunker,FCGI,1.00,26,29.8638,0.67059,0.002483,105804,83.068,3336133
bunker,FCGI,1.00,27,30.0010,0.67115,0.002394,105482,91.645,3319939
bunker,FCGI,1.00,28,30.1112,0.67093,0.002431,105559,76.112,3329416
bunker,FCGI,1.00,29,30.2419,0.67150,0.002393,105831,116.687,3333409
bunker,FCGI,1.00,30,30.3414,0.67261,0.002322,105590,84.128,3329549
bunker,FCGI,1.00,31,30.4247,0.67385,0.002235,105609,99.687,3327628
bunker,FCGI,1.00,32,30.5273,0.67534,0.002338,105504,101.873,3332037
bunker,FCGI,1.00,33,30.5767,0.67456,0.002387,105644,97.805,3331470
bunker,FCGI,1.00,34,30.6262,0.67473,0.002204,105703,89.504,3332644
bunker,FCGI,1.00,35,30.6770,0.67476,0.002230,105776,89.765,3332633
bunker,FCGI,1.00,36,30.7133,0.67460,0.002357,105928,89.754,3335211
bunker,FCGI,1.00,37,30.7658,0.67531,0.002401,105357,65.483,3320251
bunker,FCGI,1.00,38,30.8106,0.67532,0.002361,105669,91.350,3333735
bunker,FCGI,1.00,39,30.8539,0.67634,0.002175,105919,85.413,3327593
bunker,FCGI,1.00,40,30.8709,0.67668,0.002279,105543,71.160,3314313
bunker,FCGI,1.00,41,30.8854,0.67733,0.002264,105956,77.386,3333403
bunker,FCGI,1.00,42,30.8954,0.67583,0.002294,105624,89.106,3329562
bunker,FCGI,1.00,43,30.9294,0.67618,0.002282,105751,94.264,3326317
bunker,FCGI,1.00,44,30.9608,0.67667,0.002316,105855,81.286,3332902
