method,budget,frame,psnr,rays,ms,steps
DDGI,0.5,105,24.3754,17016,15.769,921809
DDGI,0.5,106,24.5225,17357,15.502,911905
DDGI,0.5,107,24.6277,17074,16.566,1023314
DDGI,0.5,108,24.7478,17049,16.537,1061662
DDGI,0.5,109,24.8354,16712,16.106,1003061
DDGI,0.5,110,24.9734,16627,16.289,993021
DDGI,0.5,111,25.0881,16898,16.070,955530
DDGI,0.5,112,25.1503,16909,15.706,917383
DDGI,0.5,113,25.2188,17355,15.379,912117
DDGI,0.5,114,25.2344,17330,16.428,1039442
DDGI,0.5,115,25.2876,16933,16.281,1036006
DDGI,0.5,116,25.3917,16599,16.351,998197
DDGI,0.5,117,25.4629,16874,16.387,1021085
DDGI,0.5,118,25.5445,16697,15.892,934411
DDGI,0.5,119,25.6151,16801,15.716,917244
DDGI,0.5,120,25.7783,17507,15.601,937715
DDGI,0.5,121,25.8439,17185,17.847,1006176
DDGI,0.5,122,25.7902,16899,16.649,1025171
DDGI,0.5,123,25.8466,16724,16.362,1027654
DDGI,0.5,124,25.9483,16916,16.218,1016052
DDGI,0.5,125,26.0469,16596,15.868,926476
DDGI,0.5,126,26.1211,16742,15.851,920402
DDGI,0.5,127,26.1903,17531,15.563,942538
DDGI,0.5,128,26.2158,17156,16.194,976537
DDGI,0.5,129,26.3305,16837,16.212,1016223
DDGI,0.5,130,26.3769,16987,16.902,1065547
DDGI,0.5,131,26.4292,16795,16.282,996757
DDGI,0.5,132,26.5255,16514,15.954,922004
DDGI,0.5,133,26.6010,16863,16.080,949267
DDGI,0.5,134,26.6453,17410,15.528,925717
DDGI,0.5,135,26.6820,17182,15.956,962943
DDGI,0.5,136,26.7595,16767,16.119,1020403
DDGI,0.5,137,26.8084,17106,16.460,1070681
DDGI,0.5,138,26.8881,16659,16.004,985712
DDGI,0.5,139,26.9714,16541,15.873,936400
DDGI,0.5,140,27.0151,17030,16.212,965579
DDGI,0.5,141,27.1658,17283,16.094,914589
DDGI,0.5,142,27.2067,17194,15.762,958763
DDGI,0.5,143,27.3077,17020,16.456,1052821
DDGI,0.5,144,27.3294,16982,18.415,1044559
DDGI,0.5,145,27.4008,16593,16.055,985056
DDGI,0.5,146,27.4986,16665,16.244,965035
DDGI,0.5,147,27.5472,16876,15.933,943358
DDGI,0.5,148,27.6657,17225,15.306,903561
DDGI,0.5,149,27.7008,17177,15.831,963553
FCGI,0.5,0,12.5833,16790,9.676,1152682
FCGI,0.5,1,13.5362,17012,9.421,1215463
FCGI,0.5,2,14.4323,17225,8.907,1147947
FCGI,0.5,3,14.9227,16339,8.168,1044884
FCGI,0.5,4,16.2798,16301,8.670,1137092
FCGI,0.5,5,17.8572,16682,9.080,1184995
FCGI,0.5,6,18.9893,17037,8.910,1168777
FCGI,0.5,7,19.4744,17206,8.698,1142078
FCGI,0.5,8,19.8107,16391,8.433,1091736
FCGI,0.5,9,20.2776,16226,8.553,1129887
FCGI,0.5,10,20.8578,16577,8.601,1147005
FCGI,0.5,11,21.2572,17161,9.017,1203739
FCGI,0.5,12,21.5004,17218,8.886,1182088
FCGI,0.5,13,21.6964,16472,8.069,1054951
FCGI,0.5,14,22.0605,16065,8.191,1095810
FCGI,0.5,15,22.3953,16653,8.702,1205761
FCGI,0.5,16,22.6084,17083,8.862,1186723
FCGI,0.5,17,22.7817,17124,8.544,1139930
FCGI,0.5,18,22.9201,16483,8.073,1047096
FCGI,0.5,19,23.0933,16105,8.429,1147989
FCGI,0.5,20,23.3646,16820,8.601,1158589
FCGI,0.5,21,23.5396,16985,8.539,1158887
FCGI,0.5,22,23.6523,17290,8.826,1188100
FCGI,0.5,23,23.7676,16418,8.238,1066950
FCGI,0.5,24,23.9094,16108,8.269,1106058
FCGI,0.5,25,24.1074,16842,8.657,1178113
FCGI,0.5,26,24.2382,16921,8.838,1205285
FCGI,0.5,27,24.3238,17242,8.583,1134564
FCGI,0.5,28,24.3958,16230,7.873,1025859
FCGI,0.5,29,24.5710,16103,8.495,1155231
FCGI,0.5,30,24.7388,16866,8.810,1189594
FCGI,0.5,31,24.8346,16973,8.617,1161528
FCGI,0.5,32,24.9187,17264,8.582,1145102
FCGI,0.5,33,25.0011,16153,8.240,1083087
FCGI,0.5,34,25.0744,16219,8.259,1115300
FCGI,0.5,35,25.1833,16731,8.469,1151606
FCGI,0.5,36,25.2668,17019,8.869,1215862
FCGI,0.5,37,25.3491,17247,8.688,1159451
FCGI,0.5,38,25.4278,16376,7.981,1042240
FCGI,0.5,39,25.5403,16146,8.378,1124207
FCGI,0.5,40,25.6309,16746,8.819,1210295
FCGI,0.5,41,25.7055,17182,8.682,1173965
FCGI,0.5,42,25.7762,17216,8.432,1122959
FCGI,0.5,43,25.8227,16317,8.220,1085937
FCGI,0.5,44,25.9400,16189,8.510,1140109
FCGI,0.5,45,26.0468,16885,8.609,1167368
FCGI,0.5,46,26.1087,17080,8.686,1177886
FCGI,0.5,47,26.1533,17124,8.899,1169328
FCGI,0.5,48,26.2048,16351,7.996,1041198
FCGI,0.5,49,26.3135,16146,8.357,1110681
FCGI,0.5,50,26.3935,16859,8.804,1203795
FCGI,0.5,51,26.4583,17007,8.822,1193546
FCGI,0.5,52,26.5138,17224,8.841,1120024
FCGI,0.5,53,26.5734,16246,8.029,1052549
FCGI,0.5,54,26.6801,16175,8.563,1170331
FCGI,0.5,55,26.7508,16965,8.572,1160846
FCGI,0.5,56,26.8069,16978,8.619,1172716
FCGI,0.5,57,26.8490,17229,8.670,1162893
FCGI,0.5,58,26.8980,16151,8.091,1063020
FCGI,0.5,59,27.0038,16289,8.435,1119911
FCGI,0.5,60,27.0840,16851,8.724,1178001
FCGI,0.5,61,27.1426,16991,8.861,1204248
